"ds","id","query","product_title","product_description","median_relevance","relevance_variance"
"617",1957,"patio tables"," dining eucalyptus folding table"," almacenamiento ambas apoyo bases con dos esta exteriores facilidad mesa mover para parte plegar pueden que secciones sencillo sostener superior tablillas tiene una",2,0
"618",1961,"bike lock"," 230120 bike combination lock mwave pad pd5"," 230120 bike can changed code combination commuter daily designed digit hardened lock locks made mind mwave pad pd5 preferred products security shackle steel",4,0
"619",1962,"ice cream maker"," 4qt black cream electric ice maker sunbeam wooden"," 100 1100 2year 400 4399 4qt 4quart 5499 add aluminum appliances authenticstyle availability black bucket can capacity care cart churning cleaning convenience covers crank cream create date days demo designed details electric essentials family features find finish friends fun good hand hold home ice image includes indicator instruction item items kitchen learn lights list maker makers manual material may mouse must notes number oldfashioned online overview pieces plan plenty policy prices product promotions quantity read reg registry replacement return returned returns reviews rock sale salt save scoop section see share ship shipping smooth sold specifications stock store stores styles sunbeam target vary volume wash within wood wooden zoom",4,0
"620",1964,"silver necklace"," bead chain necklace silver sterling womens","",4,0
"621",1971,"tote bag"," bag changes colorful hablando sola tote","",4,0
"622",1984,"aroma diffuser"," 1ounce essential foods now oil pack peppermint"," 100percent applications aroma aromatherapeutic brisk can centuries culinary diluted enjoyed fresh internally leaves now oil peppermint peppermints properly pure steamdistilled taken",1,0.8
"623",1994,"yoga mat"," fitness health mat nbr red sivan yoga"," add adequate comfort comfortable cushioned dense durable exercises extra extremely features fitness flexibility foam health holds ideal inches lightweight long made mat measuring millimeters nbr nonskid nonslip padding provides ridges sivan stability stretching surface thick time washable well wellmade wide will workouts yoga",4,0
"624",1997,"lego star wars"," jabbas lego palace play set star wars","",4,0.471
"625",1999,"kitchenaid mixer"," bowllift design kathr kitchenaid mixers newmetro red tilthead"," 625h acts also ansinsf2 baking batter beater beaterblade beating becomes blade blades bottle bottom bowl bread brush buildup butters cakes care certified clean color compound continuously cookie cookies cutting design dimensions dishwashersafe done dough elastomer eliminating extrathick fillings flat foods frostings frozen hand handsfree inside kath kitchenaid like made mashed meatloaf mixer mixers mixes mixing much neck new nwmto002 patented perfect pie plastic polycarbonate potatoes preparation proprietary quart recommended red revert scrapes scraping sides sku spatula stand thermo thick thus tilthead time toprack traditional trim ultimate usa use virtually will wingsystem wiper work youre",2,0.943
"626",2000,"memory foam pillow"," dream foam memory pillow serenity trugel"," 100 accessory added also bed bedtime body bring can comfort conforms contoured cooling cover damage designed dirt dream effect elevated ensure every everyday features filling foam gel give good head headrest help ideal inner layer made memory mind muscles neck night nights patterns percent pillow polyester polyurethane pressurepoint proper protect refresh regular regulated relaxation relief removable rest serenity shape sleep sleeping soothing spirit stressed support temperaturebalanced tired transforms traveling trugel use used washable will zone",4,0
"627",2005,"wired xbox 360 controller"," 360 afterglow agx50 green headset licensed wired xbox"," 360 50mm acoustic added adjustable afterglow agx50 anatomically audio can chat clarity color comfort contoured control cups depth design detachable disconnect drivers ear extended features flexible fullrange fully game green headband headset inline licensed mechanical microphone neodymium noisecanceling officially pads play plush polyurethane powerful professionally provide richness slide sound tuned use volume wired xbox",2,0
"628",2018,"seagate 2tb hard disk"," 24gb 256gb 2tb 8700 black core dell desktop drive hard i74790 included intel memory monitor processor professional ssd windows xps"," 8700 complete compute core dell desktop everything i74790 intel lets microsoft need processor professional task windows xps",2,1.067
"629",2020,"mac book air cover"," 360 black nook stand"," 360 access allowing barnes bumpresistant can change compatible controls cover cradles customdesigned debossed degrees device easily easy electronic engineered exciting exterior features finishing front full inside just landscape lightweight lining locking logo matching material mode noble nook now orientation part plastic pleasing polyurethane portrait prefer problem product protecting protective put qualities readers reading rugged scratchresistant screen securely shell side slots small specially stand stitching story sturdy sueded swivel tabs textured thats touch touches trim turn typing ultramodern viewing way youre",2,0.894
"630",2023,"infinity scarf"," faded glory infinity printed scarf womens"," 100 accessories assorted beautiful colors compliment denim faded glory infinity lightweight material multiple must outfit polyester printed prints scarf season soft sure ways wear womens",4,0
"631",2026,"pittsburgh pirates"," 95x19 auth dirt frame park pirates pittsburgh pnc sign subway"," 95x16 along authentic authenticated authentication comes dirt framed guaranteed history item line measures mlb piece pirates pittsburgh rather showing shows sign sports steiner stops style subway vintage",2,0.471
"632",2027,"memory foam pillow"," first foam free memory pillow pillowcase toddler","",4,0.471
"633",2035,"bird seed feeder"," birds chevron feeder seed"," allows beautiful chevron classic convert design easy easyfillreduces eliminates elliptical feeder feeding finch holds inserts integrated large metal offers perch plastic pounds reversible seed shape spillage unique widemouth",4,0
"634",2036,"screen protector samsung"," g920 galaxy glass guard insten lcd protector samsung screen shield tempered"," absorbency adhesive affecting attachment chemically clean clear compatible description devices durability easy features film fingerprint firm galaxy glass include increases installation item keep keys knives lcd material note offering package premium prevention processed protected protector protects reinforced resist reusable samsung scratch scratches screen sensitivity shock silicon slim smudges soul specially strong super superior tempered thickness treated virtual window",4,0
"635",2041,"blender"," blender blendtec refurbished total wildside"," 1560 amps appliances automatically base black blade blend blender blending blendtec book brand button can capacity classic color combination complete cycle deep dimensions directivedrive downthen ease easytouse electronics every fast finish foods foursided glossy gripper high horsepower inches included items jar large larger less lid machine make manual model motor nine one options ounces owners patented peak perfect powers push recipe recipes reconditioned red replaces servings settings shuts slows solidstate speeds square style tasks tb625recond time total tougher turn type vented wattage watts white whole wide wildside",4,0
